,CS textfield,BB textfield,Stack,Head angle,Head tube length textfield,Seat stay junction0,Seat tube length,Seat angle,DT Length,FORK0R,BB diameter,ttd,dtd,csd,ssd,Chain stay position on BB,SSTopZOFFSET,Head tube upper extension2,Seat tube extension2,Head tube lower extension2,SEATSTAYbrdgshift,CHAINSTAYbrdgshift,SEATSTAYbrdgdia1,CHAINSTAYbrdgdia1,SEATSTAYbrdgCheck,CHAINSTAYbrdgCheck,Dropout spacing,Wall thickness Bottom Bracket,Wall thickness Top tube,Wall thickness Head tube,Wall thickness Down tube,Wall thickness Chain stay,Wall thickness Seat stay,Wall thickness Seat tube,Wheel diameter front,RDBSD,Wheel diameter rear,FDBSD,Display AEROBARS,BB length,Head tube diameter,Wheel cut,Seat tube diameter,bottle SEATTUBE0 show,bottle DOWNTUBE0 show,Front Fender include,Rear Fender include,BELTorCHAIN,Number of cogs,Number of chainrings,Display RACK,FIRST color R_RGB,FIRST color G_RGB,FIRST color B_RGB,SPOKES composite front,SPOKES composite rear,SBLADEW front,SBLADEW rear,Saddle length,Saddle height,Down tube diameter,Seatpost LENGTH,MATERIAL OHCLASS: ALUMINIUM,MATERIAL OHCLASS: BAMBOO,MATERIAL OHCLASS: CARBON,MATERIAL OHCLASS: OTHER,MATERIAL OHCLASS: STEEL,MATERIAL OHCLASS: TITANIUM,Head tube type OHCLASS: 0,Head tube type OHCLASS: 1,Head tube type OHCLASS: 2,Head tube type OHCLASS: 3,RIM_STYLE front OHCLASS: DISC,RIM_STYLE front OHCLASS: SPOKED,RIM_STYLE front OHCLASS: TRISPOKE,RIM_STYLE rear OHCLASS: DISC,RIM_STYLE rear OHCLASS: SPOKED,RIM_STYLE rear OHCLASS: TRISPOKE,Handlebar style OHCLASS: 0,Handlebar style OHCLASS: 1,Handlebar style OHCLASS: 2,Stem kind OHCLASS: 0,Stem kind OHCLASS: 1,Stem kind OHCLASS: 2,Fork type OHCLASS: 0,Fork type OHCLASS: 1,Fork type OHCLASS: 2,Seat tube type OHCLASS: 0,Seat tube type OHCLASS: 1,Seat tube type OHCLASS: 2
3898,420.0,25.0,536.36066,70.0,112.8,45.0,400.0,73.0,648.36316,45.0,40.0,28.6,36.5,23.35,13.0,15.0,9.0,26.4,46.4,43.2,330.0,350.0,16.0,18.0,1.0,1.0,130.0,18.949564427162464,2.869863888539018,1.846060116649181,2.9206322567925636,4.319169397075161,3.2052587620665967,1.469722813815531,670.0,111.0,670.0,111.0,0.0,68.0,45.0,692.0,31.8,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,51.0,102.0,1.0,1.0,80.0,80.0,298.0,718.0,34.9,330.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2647,796.94,-3.0,363.41064,39.0,181.2,36.0,567.0,37.0,1243.389,45.0,80.0,28.6,36.5,29.85,51.0,30.0,9.2,68.0,220.0,47.0,330.0,550.0,16.0,27.0,0.0,1.0,130.0,1.0376850268351425,0.9049806573440955,1.1284506245782693,1.2314455909764586,0.9287959372273926,1.0017835532437145,0.9642620401558074,558.0,224.8,685.8,177.0,0.0,88.0,43.0,692.0,34.8,0.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,0.0,0.0,102.0,1.0,1.0,80.0,80.0,298.0,643.2,34.9,330.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4747,458.0,50.0,549.67426,63.5,159.9,45.0,460.0,76.0,742.9377,45.0,40.0,38.5,36.5,25.0,21.5,15.0,9.0,28.3,87.5,90.0,330.0,350.0,16.0,18.0,0.0,1.0,142.0,18.25053572306445,3.226354030283364,3.772494193137865,1.7982970970280585,9.109640391082369,3.176869102153754,4.853431835022682,745.0,123.0,745.0,123.0,0.0,73.0,41.3,692.0,35.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,204.0,255.0,1.0,1.0,80.0,80.0,270.0,740.0,40.0,480.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2592,403.0,70.0,569.91583,73.0,134.0,258.0,516.8,79.0,627.5942,45.0,40.0,28.6,36.5,23.35,13.0,15.0,9.0,28.2,16.8,33.1,330.0,350.0,54.0,18.0,0.0,1.0,130.0,2.5508089896664927,1.2449363499141424,2.298358501804221,2.6008561561548356,1.5055263865580601,0.9488235067104908,0.4398332319943456,674.0,52.0,674.0,52.0,1.0,68.0,32.0,687.0,31.8,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,51.0,204.0,255.0,1.0,1.0,45.0,80.0,240.0,756.0,34.9,330.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3583,440.0,70.0,574.7619,74.0,125.2,45.0,579.6,74.0,651.8397,45.0,40.0,28.6,36.5,17.5,11.5,15.0,9.0,31.0,44.6,43.7,330.0,350.0,16.0,18.0,1.0,1.0,130.0,5.959521847028516,1.9054796485644796,0.801744001738434,0.6292570344300963,1.4799187072358835,1.9267728506376671,0.7528791993405805,674.0,52.0,674.0,52.0,0.0,68.0,32.0,692.0,28.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,51.0,0.0,1.0,1.0,80.0,80.0,265.0,718.0,28.0,300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3270,415.0,60.0,627.3353,73.0,170.0,55.0,625.4,73.0,688.6565,45.0,40.0,28.6,33.22,23.35,13.0,15.0,9.0,34.2,45.4,60.7,330.0,350.0,16.0,18.0,1.0,1.0,135.0,4.267226383067229,1.84881510780087,2.1023239412493253,5.657920752001915,7.723765646049897,0.6022161473736944,2.811563931305569,689.0,67.0,689.0,67.0,0.0,68.0,45.0,692.0,31.7,1.0,1.0,0.0,0.0,1.0,9.0,1.0,0.0,255.0,0.0,0.0,1.0,1.0,80.0,80.0,298.0,753.0,34.9,330.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4712,405.0,70.0,590.0036,73.5,150.1,45.0,582.2,72.5,636.22864,43.0,40.0,28.6,36.5,23.35,13.0,15.0,9.0,31.9,47.2,50.5,330.0,350.0,16.0,18.0,1.0,1.0,130.0,5.7727370135605,1.5760814062394757,3.2217150737276117,4.268848064043038,2.6878252007121235,2.0216312609538116,14.371121944685552,674.0,52.0,674.0,52.0,0.0,68.0,45.0,692.0,31.8,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,51.0,102.0,1.0,1.0,80.0,80.0,298.0,718.0,34.9,330.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
753,389.34,50.0,546.6531,75.5,123.0,45.0,595.5,75.5,632.20593,5.0,40.0,27.0,28.6,20.0,13.0,15.0,9.0,29.0,45.5,36.1,330.0,300.0,16.0,18.0,0.0,0.0,130.0,2.484886330254867,2.319942536193972,2.157355871288178,1.391093011780112,2.197387334001314,1.0137775164716025,1.1896558353564504,674.0,52.0,674.0,52.0,0.0,68.0,28.6,692.0,28.6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,255.0,255.0,255.0,1.0,1.0,80.0,80.0,278.0,71.0,34.9,300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1491,395.0,30.0,532.08417,70.5,100.0,15.0,300.0,72.5,625.7445,45.0,40.0,29.2,41.0,27.35,16.5,15.0,9.0,23.0,20.0,25.0,330.0,300.0,16.0,18.0,0.0,0.0,135.0,4.133472532134221,2.1221185144589194,1.634002669792894,1.109792991581897,5.956783032538866,2.937749033978743,1.4449226400590043,670.0,111.0,670.0,111.0,0.0,68.0,43.0,692.0,34.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,210.0,390.0,35.0,300.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
550,356.8,0.0,477.1037,71.0,100.4,45.0,285.0,72.0,576.313,45.0,40.0,28.6,36.5,25.0,19.0,15.0,9.0,20.9,38.0,39.5,330.0,300.0,16.0,18.0,0.0,0.0,130.0,1.1502456577588835,3.4105004275415673,2.2914999858627523,2.2169285858380072,3.513323661721994,1.3272441721682067,0.6199788785721398,600.0,100.0,600.0,100.0,0.0,68.0,45.0,692.0,31.8,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,204.0,255.0,1.0,1.0,80.0,80.0,200.0,340.0,34.9,300.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
